POST /api/user/authenticate 200 559 - 25.829 ms Tue, 16 Jan 2024 10:54:22 GMT
GET /api/workouts/favoriteworkouts 304 - - 25.930 ms Tue, 16 Jan 2024 10:54:22 GMT
GET /api/workouts/favoriteworkouts 304 - - 10.085 ms Tue, 16 Jan 2024 10:54:22 GMT
POST /api/user/login 200 108.686 ms Tue, 16 Jan 2024 10:55:04 GMT
POST /api/user/authenticate 200 15.454 ms Tue, 16 Jan 2024 10:55:04 GMT
GET /api/workouts 200 14.591 ms Tue, 16 Jan 2024 10:55:04 GMT
GET /api/workouts 304 6.521 ms Tue, 16 Jan 2024 10:55:04 GMT
POST /api/user/authenticate 200 9.641 ms Tue, 16 Jan 2024 10:55:18 GMT
GET /api/workouts/myworkouts 200 12.816 ms Tue, 16 Jan 2024 10:55:18 GMT
GET /api/workouts/myworkouts 304 10.232 ms Tue, 16 Jan 2024 10:55:18 GMT
POST /api/user/authenticate 200 - 33.526 ms Tue, 16 Jan 2024 10:55:38 GMT
GET /api/workouts/favoriteworkouts 304 - 13.591 ms Tue, 16 Jan 2024 10:55:38 GMT
GET /api/workouts/favoriteworkouts 304 - 13.829 ms Tue, 16 Jan 2024 10:55:38 GMT
POST /api/user/authenticate 200 - 8.052 ms Tue, 16 Jan 2024 10:55:41 GMT
GET /api/workouts/myworkouts 304 - 12.188 ms Tue, 16 Jan 2024 10:55:41 GMT
GET /api/workouts/myworkouts 304 - 7.313 ms Tue, 16 Jan 2024 10:55:41 GMT
POST /api/user/authenticate status 200, 24.944 ms Tue, 16 Jan 2024 10:56:14 GMT
GET /api/workouts/favoriteworkouts status 304, 21.146 ms Tue, 16 Jan 2024 10:56:14 GMT
GET /api/workouts/favoriteworkouts status 304, 14.986 ms Tue, 16 Jan 2024 10:56:14 GMT
POST /api/user/authenticate status 200, 9.694 ms Tue, 16 Jan 2024 11:00:14 GMT
GET /api/workouts/myworkouts status 304, 14.412 ms Tue, 16 Jan 2024 11:00:14 GMT
GET /api/workouts/myworkouts status 304, 11.200 ms Tue, 16 Jan 2024 11:00:14 GMT
POST /api/user/authenticate status 200, 5.277 ms Tue, 16 Jan 2024 11:00:15 GMT
POST /api/user/authenticate status 200, 7.390 ms Tue, 16 Jan 2024 11:46:53 GMT
GET /api/workouts/myworkouts status 304, 10.378 ms Tue, 16 Jan 2024 11:46:53 GMT
GET /api/workouts/myworkouts status 304, 6.887 ms Tue, 16 Jan 2024 11:46:53 GMT
POST /api/user/authenticate status 200, 7.272 ms Tue, 16 Jan 2024 11:48:32 GMT
GET /api/workouts/favoriteworkouts status 304, 9.556 ms Tue, 16 Jan 2024 11:48:32 GMT
GET /api/workouts/favoriteworkouts status 304, 6.551 ms Tue, 16 Jan 2024 11:48:32 GMT
POST /api/user/authenticate status 200, 4.207 ms Tue, 16 Jan 2024 11:48:35 GMT
GET /api/workouts/myworkouts status 304, 7.740 ms Tue, 16 Jan 2024 11:48:35 GMT
GET /api/workouts/myworkouts status 304, 7.117 ms Tue, 16 Jan 2024 11:48:35 GMT
POST /api/user/authenticate status 200, 6.894 ms Tue, 16 Jan 2024 11:48:39 GMT
GET /api/workouts/favoriteworkouts status 304, 7.860 ms Tue, 16 Jan 2024 11:48:39 GMT
GET /api/workouts/favoriteworkouts status 304, 7.619 ms Tue, 16 Jan 2024 11:48:39 GMT
POST /api/user/authenticate status 200, 3.525 ms Tue, 16 Jan 2024 11:48:48 GMT
POST /api/user/authenticate status 200, 6.135 ms Tue, 16 Jan 2024 11:48:48 GMT
GET /api/workouts status 304, 6.087 ms Tue, 16 Jan 2024 11:48:48 GMT
GET /api/workouts status 304, 5.103 ms Tue, 16 Jan 2024 11:48:48 GMT
GET /api/workouts status 304, 3.362 ms Tue, 16 Jan 2024 11:48:49 GMT
GET /api/workouts status 304, 3.605 ms Tue, 16 Jan 2024 11:48:49 GMT
POST /api/user/authenticate status 200, 4.015 ms Tue, 16 Jan 2024 11:49:27 GMT
GET /api/workouts status 304, 4.580 ms Tue, 16 Jan 2024 11:49:27 GMT
GET /api/workouts status 304, 4.900 ms Tue, 16 Jan 2024 11:49:27 GMT
POST /api/user/authenticate status 200, 4.892 ms Tue, 16 Jan 2024 11:50:23 GMT
POST /api/user/authenticate status 200, 4.847 ms Tue, 16 Jan 2024 11:50:57 GMT
GET /api/workouts status 304, 4.298 ms Tue, 16 Jan 2024 11:50:57 GMT
GET /api/workouts status 304, 4.806 ms Tue, 16 Jan 2024 11:50:57 GMT
POST /api/user/authenticate status 200, 5.814 ms Tue, 16 Jan 2024 11:50:58 GMT
GET /api/workouts/favoriteworkouts status 304, 8.096 ms Tue, 16 Jan 2024 11:50:58 GMT
GET /api/workouts/favoriteworkouts status 304, 5.825 ms Tue, 16 Jan 2024 11:50:58 GMT
POST /api/user/authenticate status 200, 3.640 ms Tue, 16 Jan 2024 11:50:59 GMT
GET /api/workouts status 304, 3.418 ms Tue, 16 Jan 2024 11:50:59 GMT
GET /api/workouts status 304, 4.991 ms Tue, 16 Jan 2024 11:50:59 GMT
POST /api/user/authenticate status 200, 3.548 ms Tue, 16 Jan 2024 11:51:03 GMT
GET /api/workouts/favoriteworkouts status 304, 7.495 ms Tue, 16 Jan 2024 11:51:03 GMT
GET /api/workouts/favoriteworkouts status 304, 6.736 ms Tue, 16 Jan 2024 11:51:03 GMT
POST /api/user/authenticate status 200, 4.669 ms Tue, 16 Jan 2024 11:51:06 GMT
GET /api/workouts status 304, 6.316 ms Tue, 16 Jan 2024 11:51:06 GMT
GET /api/workouts status 304, 4.960 ms Tue, 16 Jan 2024 11:51:06 GMT
POST /api/user/authenticate status 200, 3.215 ms Tue, 16 Jan 2024 11:51:12 GMT
GET /api/workouts status 304, 6.175 ms Tue, 16 Jan 2024 11:51:12 GMT
POST /api/user/authenticate status 200, 5.236 ms Tue, 16 Jan 2024 11:51:12 GMT
GET /api/workouts status 304, 4.710 ms Tue, 16 Jan 2024 11:51:13 GMT
GET /api/workouts status 304, 4.685 ms Tue, 16 Jan 2024 11:51:13 GMT
GET /api/workouts status 304, 5.594 ms Tue, 16 Jan 2024 11:51:13 GMT
POST /api/user/authenticate status 200, 4.548 ms Tue, 16 Jan 2024 11:51:15 GMT
GET /api/workouts/favoriteworkouts status 304, 7.012 ms Tue, 16 Jan 2024 11:51:15 GMT
GET /api/workouts/favoriteworkouts status 304, 6.177 ms Tue, 16 Jan 2024 11:51:15 GMT
POST /api/user/authenticate status 200, 6.060 ms Tue, 16 Jan 2024 11:51:21 GMT
POST /api/user/authenticate status 200, 4.540 ms Tue, 16 Jan 2024 11:51:21 GMT
GET /api/workouts/favoriteworkouts status 304, 5.617 ms Tue, 16 Jan 2024 11:51:21 GMT
GET /api/workouts/favoriteworkouts status 304, 4.698 ms Tue, 16 Jan 2024 11:51:21 GMT
POST /api/user/authenticate status 200, 6.397 ms Tue, 16 Jan 2024 11:51:26 GMT
GET /api/workouts status 304, 5.621 ms Tue, 16 Jan 2024 11:51:26 GMT
GET /api/workouts status 304, 4.880 ms Tue, 16 Jan 2024 11:51:26 GMT
POST /api/user/authenticate status 200, 4.325 ms Tue, 16 Jan 2024 11:51:32 GMT
GET /api/workouts status 304, 4.104 ms Tue, 16 Jan 2024 11:51:32 GMT
GET /api/workouts status 304, 7.213 ms Tue, 16 Jan 2024 11:51:32 GMT
POST /api/user/authenticate status 200, 6.945 ms Tue, 16 Jan 2024 11:51:32 GMT
GET /api/workouts status 304, 3.602 ms Tue, 16 Jan 2024 11:51:33 GMT
GET /api/workouts status 304, 3.934 ms Tue, 16 Jan 2024 11:51:33 GMT
POST /api/user/authenticate status 200, 3.683 ms Tue, 16 Jan 2024 11:51:50 GMT
GET /api/workouts status 304, 4.211 ms Tue, 16 Jan 2024 11:51:50 GMT
GET /api/workouts status 304, 3.265 ms Tue, 16 Jan 2024 11:51:50 GMT
POST /api/user/authenticate status 200, 5.360 ms Tue, 16 Jan 2024 11:51:51 GMT
GET /api/workouts status 304, 4.918 ms Tue, 16 Jan 2024 11:51:51 GMT
GET /api/workouts status 304, 4.136 ms Tue, 16 Jan 2024 11:51:51 GMT
POST /api/user/authenticate status 200, 3.526 ms Tue, 16 Jan 2024 11:51:52 GMT
GET /api/workouts/favoriteworkouts status 304, 6.677 ms Tue, 16 Jan 2024 11:51:52 GMT
GET /api/workouts/favoriteworkouts status 304, 8.412 ms Tue, 16 Jan 2024 11:51:52 GMT
POST /api/user/authenticate status 200, 4.930 ms Tue, 16 Jan 2024 11:51:53 GMT
GET /api/workouts status 304, 5.684 ms Tue, 16 Jan 2024 11:51:53 GMT
GET /api/workouts status 304, 3.953 ms Tue, 16 Jan 2024 11:51:53 GMT
POST /api/user/authenticate status 200, 3.484 ms Tue, 16 Jan 2024 11:51:53 GMT
GET /api/workouts status 304, 4.407 ms Tue, 16 Jan 2024 11:51:54 GMT
GET /api/workouts status 304, 4.312 ms Tue, 16 Jan 2024 11:51:54 GMT
POST /api/user/authenticate status 200, 3.813 ms Tue, 16 Jan 2024 11:51:54 GMT
POST /api/user/authenticate status 200, 7.735 ms Tue, 16 Jan 2024 11:51:55 GMT
GET /api/workouts/myworkouts status 304, 8.507 ms Tue, 16 Jan 2024 11:51:55 GMT
GET /api/workouts/myworkouts status 304, 6.996 ms Tue, 16 Jan 2024 11:51:55 GMT
POST /api/user/authenticate status 200, 4.123 ms Tue, 16 Jan 2024 11:51:55 GMT
GET /api/workouts/favoriteworkouts status 304, 7.636 ms Tue, 16 Jan 2024 11:51:56 GMT
GET /api/workouts/favoriteworkouts status 304, 6.512 ms Tue, 16 Jan 2024 11:51:56 GMT
POST /api/user/authenticate status 200, 8.630 ms Tue, 16 Jan 2024 11:51:56 GMT
GET /api/workouts status 304, 7.170 ms Tue, 16 Jan 2024 11:51:56 GMT
GET /api/workouts status 304, 5.375 ms Tue, 16 Jan 2024 11:51:56 GMT
POST /api/user/authenticate status 200, 3.103 ms Tue, 16 Jan 2024 11:52:02 GMT
GET /api/workouts/myworkouts status 304, 6.580 ms Tue, 16 Jan 2024 11:52:02 GMT
GET /api/workouts/myworkouts status 304, 4.972 ms Tue, 16 Jan 2024 11:52:02 GMT
POST /api/user/authenticate status 200, 4.229 ms Tue, 16 Jan 2024 11:52:05 GMT
GET /api/workouts status 304, 2.829 ms Tue, 16 Jan 2024 11:52:05 GMT
GET /api/workouts status 304, 3.673 ms Tue, 16 Jan 2024 11:52:06 GMT
POST /api/user/authenticate status 200, 4.968 ms Tue, 16 Jan 2024 11:52:30 GMT
POST /api/user/authenticate status 200, 8.945 ms Tue, 16 Jan 2024 12:25:36 GMT
POST /api/user/authenticate status 200, 6.459 ms Tue, 16 Jan 2024 12:25:36 GMT
POST /api/user/authenticate status 200, 8.302 ms Tue, 16 Jan 2024 12:32:31 GMT
GET /api/workouts/favoriteworkouts status 304, 8.965 ms Tue, 16 Jan 2024 12:32:31 GMT
GET /api/workouts/favoriteworkouts status 304, 8.504 ms Tue, 16 Jan 2024 12:32:31 GMT
POST /api/user/authenticate status 200, 4.777 ms Tue, 16 Jan 2024 12:32:32 GMT
GET /api/workouts status 304, 4.863 ms Tue, 16 Jan 2024 12:32:32 GMT
GET /api/workouts status 304, 4.168 ms Tue, 16 Jan 2024 12:32:32 GMT
POST /api/user/authenticate status 200, 3.884 ms Tue, 16 Jan 2024 12:32:33 GMT
POST /api/user/authenticate status 200, 6.346 ms Tue, 16 Jan 2024 12:32:35 GMT
GET /api/workouts status 304, 5.541 ms Tue, 16 Jan 2024 12:32:35 GMT
GET /api/workouts status 304, 3.901 ms Tue, 16 Jan 2024 12:32:35 GMT
POST /api/user/authenticate status 200, 4.192 ms Tue, 16 Jan 2024 12:32:36 GMT
POST /api/user/authenticate status 200, 5.755 ms Tue, 16 Jan 2024 12:32:43 GMT
GET /api/workouts status 304, 5.090 ms Tue, 16 Jan 2024 12:32:43 GMT
GET /api/workouts status 304, 3.822 ms Tue, 16 Jan 2024 12:32:43 GMT
POST /api/user/authenticate status 200, 4.753 ms Tue, 16 Jan 2024 12:32:44 GMT
POST /api/user/authenticate status 200, 8.026 ms Tue, 16 Jan 2024 12:33:32 GMT
GET /api/workouts status 304, 5.715 ms Tue, 16 Jan 2024 12:33:32 GMT
GET /api/workouts status 304, 3.656 ms Tue, 16 Jan 2024 12:33:33 GMT
POST /api/user/authenticate status 200, 4.834 ms Tue, 16 Jan 2024 12:33:34 GMT
POST /api/user/authenticate status 200, 6.525 ms Tue, 16 Jan 2024 12:34:32 GMT
GET /api/workouts status 304, 5.821 ms Tue, 16 Jan 2024 12:34:32 GMT
GET /api/workouts status 304, 3.303 ms Tue, 16 Jan 2024 12:34:33 GMT
POST /api/user/authenticate status 200, 3.667 ms Tue, 16 Jan 2024 12:34:33 GMT
GET /api/workouts status 304, 4.900 ms Tue, 16 Jan 2024 12:34:33 GMT
GET /api/workouts status 304, 4.172 ms Tue, 16 Jan 2024 12:34:33 GMT
POST /api/user/authenticate status 200, 4.075 ms Tue, 16 Jan 2024 12:34:34 GMT
